lat:45.587051 lng:9.275018
lat:41.914394 lng:12.456535
lat:41.921963 lng:12.525279
lat:41.940823 lng:12.598455
lat:41.92104 lng:12.525291
lat:41.911964 lng:12.493686
lat:41.922424 lng:12.524205
lat:41.794617 lng:12.455287
lat:41.878551 lng:12.465981
lat:41.966133 lng:12.441617
lat:41.854664 lng:12.443663
lat:45.53791 lng:10.212998
lat:43.870857 lng:11.090664
lat:41.889484 lng:12.544515
lat:41.870819 lng:12.61839
lat:45.542149 lng:10.21301
lat:41.898991 lng:12.49996
lat:41.933395 lng:12.419064
lat:41.856224 lng:12.507321
lat:43.808872 lng:11.218151
lat:41.932671 lng:12.42309
lat:41.933151 lng:12.422701
lat:41.857265 lng:12.479599
lat:42.041649 lng:12.447278
lat:41.923866 lng:12.513275
lat:46.072926 lng:11.162319
lat:43.817986 lng:11.230448
lat:45.547119 lng:11.61451
lat:43.756721 lng:11.226367
lat:41.890877 lng:12.54092
lat:41.920189 lng:12.47975
lat:41.944035 lng:12.556981
lat:41.895866 lng:12.477903
lat:41.942932 lng:12.551867
lat:41.898888 lng:12.469581
lat:41.946964 lng:12.551194
lat:41.898003 lng:12.466275
lat:43.887032 lng:11.070306
lat:41.929802 lng:12.545647
lat:43.870392 lng:11.090136
lat:43.870869 lng:11.090651
lat:45.420391 lng:10.9391
lat:41.908588 lng:12.476153
lat:41.906731 lng:12.517253
lat:41.899899 lng:12.491392
lat:46.045311 lng:11.105463
lat:41.920963 lng:12.524486
lat:41.922455 lng:12.524194
lat:41.898586 lng:12.516965
lat:43.311771 lng:11.332847
lat:41.944214 lng:12.557267
lat:43.871315 lng:11.100464
lat:45.506126 lng:10.25703
lat:41.922241 lng:12.524895
lat:41.946232 lng:12.518461
lat:45.405495 lng:11.880196
lat:41.900368 lng:12.483579
lat:43.796028 lng:11.205367
lat:45.403687 lng:8.919213
lat:45.38728 lng:8.911098
lat:45.39732 lng:8.91406
lat:45.403816 lng:8.91715
lat:45.406574 lng:8.913542
lat:45.404583 lng:8.91271
lat:37.601261 lng:15.142036
lat:37.603062 lng:15.14148
lat:37.606647 lng:15.138123
lat:37.622536 lng:15.162026
lat:37.625347 lng:15.162939
lat:37.62278 lng:15.167945
lat:37.628231 lng:15.1618
lat:37.63007 lng:15.160232
lat:37.576199 lng:15.154039
lat:37.618881 lng:15.16664
lat:37.648479 lng:15.191734
lat:37.652039 lng:15.192484
lat:37.628281 lng:15.14364
lat:44.671669 lng:8.4729
lat:44.676418 lng:8.4644
lat:44.672775 lng:8.469503
lat:44.675171 lng:8.469773
lat:44.674068 lng:8.469189
lat:37.315804 lng:13.655455
lat:37.320492 lng:13.660887
lat:37.311779 lng:13.654364
lat:37.311562 lng:13.65317
lat:37.312073 lng:13.655981
lat:37.312038 lng:13.572771
lat:37.311642 lng:13.574321
lat:37.272591 lng:13.603974
lat:44.71368 lng:8.015659
lat:44.695553 lng:8.026341
lat:44.697319 lng:8.034476
lat:44.701096 lng:8.035279
lat:44.697598 lng:8.032245
lat:44.698338 lng:8.033349
lat:44.699642 lng:8.035776
lat:44.700455 lng:8.03438
lat:44.698181 lng:8.035577
lat:44.690563 lng:8.034161
lat:44.699211 lng:8.032171
lat:37.975719 lng:12.966349
lat:37.980103 lng:12.96811
lat:37.977303 lng:12.949997
lat:37.983963 lng:12.972426
lat:37.977047 lng:12.963731
lat:37.972321 lng:12.95096
lat:37.97636 lng:12.96169
lat:37.976601 lng:12.96522
lat:37.976158 lng:12.96794
lat:37.974522 lng:12.96651
lat:44.88876 lng:8.585985
lat:44.914612 lng:8.61572
lat:44.910442 lng:8.619094
lat:44.914482 lng:8.619578
lat:44.912243 lng:8.620134
lat:41.775585 lng:12.593162
lat:41.764378 lng:12.618888
lat:41.5816 lng:12.668003
lat:41.593967 lng:12.657441
lat:41.585415 lng:12.567906
lat:41.597813 lng:12.673461
lat:41.765923 lng:12.667846
lat:41.542225 lng:12.643579
lat:41.598202 lng:12.677843
lat:41.594978 lng:12.64928
lat:40.82814 lng:16.558371
lat:40.823463 lng:16.558762
lat:40.828865 lng:16.556517
lat:40.819859 lng:16.553711
lat:40.830379 lng:16.559341
lat:40.823582 lng:16.5497
lat:40.826077 lng:16.558844
lat:43.619614 lng:13.413186
lat:43.618374 lng:13.417121
lat:43.604176 lng:13.362798
lat:43.620846 lng:13.412097
lat:43.63187 lng:13.39234
lat:41.220001 lng:16.2904
lat:41.234196 lng:16.306675
lat:41.315971 lng:16.27914
lat:41.27224 lng:16.42374
lat:41.31284 lng:16.271021
lat:41.310375 lng:16.281466
lat:41.308361 lng:16.28561
lat:41.314327 lng:16.275719
lat:41.227798 lng:16.297211
lat:41.266621 lng:16.41678
lat:41.265938 lng:16.434681
lat:41.307552 lng:16.287395
lat:41.313648 lng:16.272491
lat:41.32077 lng:16.273666
lat:41.223984 lng:16.286627
lat:41.231182 lng:16.295099
lat:41.229622 lng:16.29484
lat:41.307636 lng:16.264463
lat:41.275436 lng:16.423149
lat:41.276352 lng:16.423313
lat:41.313335 lng:16.274487
lat:41.316158 lng:16.277325
lat:41.237301 lng:16.299671
lat:41.225056 lng:16.30533
lat:41.320332 lng:16.276466
lat:41.219543 lng:16.302446
lat:41.265339 lng:16.43306
lat:41.314243 lng:16.271152
lat:41.225838 lng:16.29117
lat:41.311211 lng:16.273319
lat:41.475903 lng:12.606496
lat:41.482998 lng:12.605749
lat:41.473911 lng:12.60511
lat:41.480145 lng:12.60473
lat:43.461082 lng:11.831717
lat:43.462276 lng:11.831962
lat:43.472439 lng:11.87865
lat:43.462566 lng:11.843059
lat:43.462265 lng:11.897101
lat:43.473621 lng:11.852978
lat:43.466972 lng:11.871384
lat:43.462029 lng:11.839355
lat:45.522343 lng:11.321153
lat:45.545792 lng:11.346117
lat:45.521992 lng:11.318919
lat:45.553314 lng:11.322601
lat:42.853188 lng:13.562258
lat:42.849537 lng:13.627816
lat:42.855621 lng:13.59242
lat:43.063423 lng:12.560292
lat:43.062305 lng:12.552928
lat:43.057941 lng:12.568104
lat:43.075474 lng:12.618856
lat:44.896885 lng:8.205983
lat:44.900475 lng:8.199094
lat:44.896946 lng:8.20629
lat:40.906853 lng:14.798375
lat:40.919239 lng:14.789713
lat:40.893372 lng:14.763235
lat:40.906113 lng:14.795983
lat:40.915211 lng:14.768925
lat:40.894627 lng:14.758608
lat:40.910149 lng:14.802663
lat:40.90699 lng:14.827905
lat:40.906895 lng:14.784818
lat:40.91869 lng:14.830087
lat:40.913399 lng:14.826704
lat:40.920246 lng:14.792117
lat:40.914848 lng:14.805953
lat:42.03907 lng:13.43135
lat:42.026051 lng:13.43072
lat:42.030445 lng:13.418359
lat:42.030273 lng:13.4155
lat:42.058914 lng:13.480376
lat:42.030083 lng:13.415535
lat:42.053165 lng:13.484625
lat:38.081596 lng:13.517329
lat:45.758389 lng:11.741853
lat:45.753208 lng:11.722749
lat:40.616924 lng:14.959615
lat:40.618011 lng:14.975373
lat:40.616924 lng:14.974042
lat:40.608639 lng:14.989114
lat:40.603062 lng:14.974555
lat:40.615978 lng:14.9639
lat:40.616756 lng:14.961639
lat:40.61488 lng:14.986064
lat:40.609085 lng:14.989865
lat:40.609631 lng:14.987478
lat:46.150974 lng:12.211781
lat:46.140705 lng:12.222214
lat:46.139893 lng:12.213703
lat:46.138393 lng:12.218471
lat:41.122902 lng:14.795071
lat:41.140045 lng:14.777608
lat:41.130238 lng:14.776228
lat:41.124668 lng:14.790526
lat:41.13517 lng:14.773304
lat:41.129948 lng:14.779056
lat:41.11544 lng:14.77864
lat:41.130806 lng:14.776907
lat:41.126614 lng:14.787642
lat:41.119965 lng:14.800811
lat:41.129501 lng:14.772828
lat:41.141045 lng:14.774604
lat:41.116722 lng:14.797313
lat:41.132969 lng:14.775891
lat:41.124413 lng:14.798441
lat:45.703369 lng:9.71884
lat:41.055004 lng:16.70199
lat:41.057487 lng:16.696905
lat:41.05492 lng:16.703913
lat:41.106915 lng:16.697931
lat:41.106209 lng:16.70046
lat:41.107876 lng:16.704098
lat:41.112267 lng:16.683981
lat:44.494919 lng:11.426851
lat:44.489964 lng:11.422164
lat:46.494812 lng:11.343405
lat:46.486832 lng:11.346036
lat:46.507172 lng:11.337989
lat:46.499123 lng:11.33533
lat:46.495171 lng:11.346044
lat:46.494331 lng:11.345743
lat:46.485638 lng:11.351364
lat:46.416767 lng:11.328251
lat:46.486485 lng:11.343503
lat:46.487408 lng:11.351096
lat:46.502972 lng:11.329433
lat:46.495712 lng:11.343413
lat:46.482391 lng:11.34239
lat:46.504608 lng:11.340846
lat:46.505642 lng:11.343765
lat:46.483204 lng:11.344579
lat:46.501289 lng:11.361207
lat:46.508415 lng:11.343868
lat:46.500736 lng:11.363023
lat:46.498665 lng:11.357185
lat:46.498943 lng:11.349119
lat:46.505589 lng:11.336826
lat:46.505512 lng:11.344851
lat:46.46875 lng:11.334656
lat:46.493721 lng:11.35316
lat:46.468491 lng:11.332369
lat:46.503483 lng:11.342106
lat:46.506676 lng:11.354142
lat:46.503685 lng:11.356297
lat:46.486858 lng:11.34908
lat:44.697071 lng:7.839189
lat:44.701778 lng:7.847862
lat:44.702137 lng:7.842267
lat:44.696735 lng:7.848566
lat:44.696262 lng:7.851966
lat:40.633549 lng:17.942785
lat:40.632938 lng:17.93446
lat:40.644707 lng:17.939686
lat:40.65472 lng:17.955379
lat:40.629543 lng:17.932053
lat:40.772408 lng:14.799576
lat:40.76062 lng:14.794547
lat:45.467957 lng:10.857486
lat:45.469566 lng:10.846256
lat:45.468983 lng:10.860591
lat:45.474293 lng:10.851704
lat:45.472759 lng:10.850402
lat:45.472347 lng:10.850412
lat:45.474121 lng:10.85008
lat:45.474117 lng:10.847913
lat:45.474667 lng:10.847317
lat:45.477375 lng:10.827362
lat:45.44035 lng:10.86983
lat:45.44817 lng:10.867143
lat:45.456623 lng:10.87513
lat:45.447865 lng:10.877655
lat:45.448105 lng:10.873036
lat:45.586662 lng:8.851181
lat:45.615845 lng:8.858036
lat:45.630241 lng:8.82622
lat:44.622936 lng:11.674043
lat:44.613815 lng:11.667794
lat:44.608757 lng:11.666529
lat:44.62212 lng:11.671578
lat:44.621838 lng:11.672643
lat:44.595806 lng:11.040408
lat:44.588657 lng:11.047896
lat:44.594231 lng:11.05157
lat:44.587605 lng:11.051618
lat:44.596153 lng:11.04992
lat:44.594597 lng:11.059181
lat:44.594505 lng:11.054675
lat:44.595745 lng:11.04377
lat:44.597424 lng:11.046441
lat:44.597797 lng:11.051111
lat:44.5933 lng:11.058074
lat:44.595421 lng:11.051951
lat:44.593639 lng:11.05567
lat:39.209106 lng:9.141865
lat:39.222786 lng:9.245073
lat:39.258194 lng:9.113874
lat:39.220497 lng:9.133399
lat:39.238647 lng:9.09837
lat:39.255032 lng:9.177615
lat:39.222462 lng:9.130573
lat:39.230873 lng:9.130615
lat:39.216911 lng:9.115988
lat:39.239071 lng:9.107575
lat:39.243332 lng:9.179752
lat:39.256409 lng:9.180521
lat:39.245518 lng:9.133419
lat:39.220985 lng:9.130463
lat:39.229721 lng:9.129289
lat:39.238155 lng:9.10203
lat:39.221142 lng:9.12328
lat:39.219387 lng:9.13248
lat:39.220905 lng:9.123211
lat:39.222744 lng:9.12965
lat:39.241035 lng:9.207317
lat:39.220173 lng:9.118776
lat:39.215927 lng:9.113932
lat:39.239742 lng:9.178463
lat:39.2393 lng:9.129341
lat:39.247597 lng:9.130741
lat:39.209259 lng:9.139794
lat:39.214153 lng:9.120764
lat:39.299675 lng:9.092659
lat:39.215008 lng:9.113645
lat:39.216991 lng:9.084231
lat:39.262634 lng:9.174324
lat:39.237217 lng:9.121937
lat:41.550774 lng:14.663833
lat:41.566246 lng:14.67556
lat:41.562477 lng:14.672417
lat:41.561756 lng:14.669106
lat:44.71814 lng:8.280273
lat:44.718128 lng:8.281611
lat:44.718056 lng:8.287527
lat:44.719471 lng:8.28585
lat:44.719528 lng:8.28819
lat:44.721416 lng:8.296328
lat:44.717731 lng:8.283528
lat:45.731098 lng:9.153009
lat:45.72403 lng:9.165571
lat:45.721447 lng:9.150265
lat:45.731895 lng:9.150746
lat:45.74744 lng:9.12073
lat:45.735939 lng:9.128526
lat:45.734032 lng:9.13046
lat:45.741169 lng:9.128119
lat:45.733856 lng:9.122656
lat:45.73991 lng:9.126097
lat:45.731087 lng:9.153004
lat:45.724148 lng:9.150263
lat:45.741867 lng:9.139458
lat:40.915844 lng:14.049915
lat:40.910164 lng:14.043697
lat:44.785839 lng:10.885165
lat:44.791634 lng:10.87867
lat:44.788376 lng:10.8881
lat:44.801476 lng:10.885122
lat:44.792931 lng:10.875206
lat:44.797215 lng:10.882388
lat:44.797859 lng:10.882712
lat:44.793541 lng:10.879596
lat:44.796108 lng:10.881539
lat:44.794842 lng:10.886299
lat:44.79081 lng:10.880071
lat:41.074013 lng:14.361615
lat:41.074806 lng:14.360891
lat:41.072491 lng:14.333435
lat:41.069012 lng:14.354818
lat:41.075653 lng:14.332705
lat:41.074139 lng:14.353577
lat:41.093105 lng:14.32433
lat:41.072475 lng:14.318046
lat:41.081654 lng:14.325525
lat:41.084354 lng:14.341091
lat:41.080681 lng:14.352514
lat:41.084724 lng:14.361293
lat:41.09 lng:14.33632
lat:41.071003 lng:14.351444
lat:41.089996 lng:14.331355
lat:41.09111 lng:14.335149
lat:41.066772 lng:14.353836
lat:41.085033 lng:14.347788
lat:41.071629 lng:14.33889
lat:41.072613 lng:14.331491
lat:41.083729 lng:14.355476
lat:41.073612 lng:14.352217
lat:41.088493 lng:14.350864
lat:41.094521 lng:14.351972
lat:41.098793 lng:14.340724
lat:40.274391 lng:18.045397
lat:41.490192 lng:13.838508
lat:41.480728 lng:13.876951
lat:41.490086 lng:13.858761
lat:41.466297 lng:13.790378
lat:41.493015 lng:13.860472
lat:37.686775 lng:12.796174
lat:37.68362 lng:12.793717
lat:37.685532 lng:12.788471
lat:37.559822 lng:15.072357
lat:37.519775 lng:15.012561
lat:37.517448 lng:15.00447
lat:37.509403 lng:14.968127
lat:37.555958 lng:15.069019
lat:37.513321 lng:14.969872
lat:37.565609 lng:15.11253
lat:37.550877 lng:15.112611
lat:37.521954 lng:15.001323
lat:37.512463 lng:14.967838
lat:45.180199 lng:7.709203
lat:45.673416 lng:11.927116
lat:41.562744 lng:13.357881
lat:41.593353 lng:13.307343
lat:41.585438 lng:13.332253
lat:43.328445 lng:10.512543
lat:45.634487 lng:9.122297
lat:45.633369 lng:9.123184
lat:45.516754 lng:9.326681
lat:45.528313 lng:9.33443
lat:45.517162 lng:9.321152
lat:45.52969 lng:9.325588
lat:45.523422 lng:9.329293
lat:45.532867 lng:9.33707
lat:45.527695 lng:9.331645
lat:45.525658 lng:9.337936
lat:45.527664 lng:9.330338
lat:45.503979 lng:9.323964
lat:45.506371 lng:9.32372
lat:44.735741 lng:11.281101
lat:44.733955 lng:11.281651
lat:41.256844 lng:15.895382
lat:41.256931 lng:15.897534
lat:41.259605 lng:15.898346
lat:41.262024 lng:15.902181
lat:44.221527 lng:12.337953
lat:44.133762 lng:12.224684
lat:44.142582 lng:12.248778
lat:44.147163 lng:12.22281
lat:44.333302 lng:9.32307
lat:44.314484 lng:9.32787
lat:44.313953 lng:9.329375
lat:42.344086 lng:14.167164
lat:42.34536 lng:14.165333
lat:42.342628 lng:14.166559
lat:42.351971 lng:14.172771
lat:42.341309 lng:14.166132
lat:42.351669 lng:14.174243
lat:42.339344 lng:14.168644
lat:42.341805 lng:14.16252
lat:42.340141 lng:14.16745
lat:42.339012 lng:14.159591
lat:45.217468 lng:12.290777
lat:45.222298 lng:12.279607
lat:45.222919 lng:12.280031
lat:45.199272 lng:12.297844
lat:45.20499 lng:7.894172
lat:45.197781 lng:7.929553
lat:45.192265 lng:7.900344
lat:45.195377 lng:7.909774
lat:45.188591 lng:7.89251
lat:43.442326 lng:12.249594
lat:43.468296 lng:12.215237
lat:43.456554 lng:12.240407
lat:43.455151 lng:12.241753
lat:43.461414 lng:12.237866
lat:43.457443 lng:12.238214
lat:43.456364 lng:12.238536
lat:39.373142 lng:17.131248
lat:43.306763 lng:13.727798
lat:43.307774 lng:13.699785
lat:43.309227 lng:13.726415
lat:43.321938 lng:13.718253
lat:43.294243 lng:13.702781
lat:43.316578 lng:13.718394
lat:43.30909 lng:13.7227
lat:43.300789 lng:13.735304
lat:42.10318 lng:11.794452
lat:42.083679 lng:11.814343
lat:42.085548 lng:11.805208
lat:42.082573 lng:11.811715
lat:42.096432 lng:11.798583
lat:42.088722 lng:11.802694
lat:42.03904 lng:11.833575
lat:42.093071 lng:11.79501
lat:42.09885 lng:11.794306
lat:42.070805 lng:11.817517
lat:37.480206 lng:14.05489
lat:37.489616 lng:14.053286
lat:37.476471 lng:14.050742
lat:37.485008 lng:14.044692
lat:37.488922 lng:14.050822
lat:37.484314 lng:14.058245
lat:37.490711 lng:14.061336
lat:37.484619 lng:14.059055
lat:37.478638 lng:14.058397
lat:37.493748 lng:14.056617
lat:37.484303 lng:14.053194
lat:37.499828 lng:14.063659
lat:37.477066 lng:14.054997
lat:37.496468 lng:14.051533
lat:45.784695 lng:9.071078
lat:45.812263 lng:9.070583
lat:45.812401 lng:9.069583
lat:45.806252 lng:9.07839
lat:45.780365 lng:9.093361
lat:45.834175 lng:9.04583
lat:45.781624 lng:9.083413
lat:45.877239 lng:12.303283
lat:45.892906 lng:12.299725
lat:45.887833 lng:12.301954
lat:44.891979 lng:11.823436
lat:44.895351 lng:11.82627
lat:44.894745 lng:11.818408
lat:44.895985 lng:11.824031
lat:44.921944 lng:11.872218
lat:39.330826 lng:16.223471
lat:39.286873 lng:16.261683
lat:39.313942 lng:16.25589
lat:39.346767 lng:16.238464
lat:39.297241 lng:16.25206
lat:39.32058 lng:16.254795
lat:39.323357 lng:16.254217
lat:39.291805 lng:16.26466
lat:39.343231 lng:16.242264
lat:39.298458 lng:16.249435
lat:39.355824 lng:16.241817
lat:39.289364 lng:16.259535
lat:39.293602 lng:16.255592
lat:39.348236 lng:16.187855
lat:39.358318 lng:16.242096
lat:45.364056 lng:9.70754
lat:45.367287 lng:9.68363
lat:45.366783 lng:9.707113
lat:45.363052 lng:9.675469
lat:45.3559 lng:9.65162
lat:45.356026 lng:9.651442
lat:38.130047 lng:13.182328
lat:38.129025 lng:13.181714
lat:45.130161 lng:10.048411
lat:45.132034 lng:10.032834
lat:45.131519 lng:10.043719
lat:45.148045 lng:10.032514
lat:45.134075 lng:10.03305
lat:45.162983 lng:10.024226
lat:45.169258 lng:10.026595
lat:45.163754 lng:10.026632
lat:45.145077 lng:10.035274
lat:45.134842 lng:10.049499
lat:45.131973 lng:10.024908
lat:45.141792 lng:10.011346
lat:39.076534 lng:17.122028
lat:39.086475 lng:17.114683
lat:39.077679 lng:17.121
lat:39.078182 lng:17.123095
