lat:41.898586 lng:12.516965
lat:43.311771 lng:11.332847
lat:41.944214 lng:12.557267
lat:45.506126 lng:10.25703
lat:45.405495 lng:11.880196
lat:41.900368 lng:12.483579
lat:43.796028 lng:11.205367
lat:45.403687 lng:8.919213
lat:45.38728 lng:8.911098
lat:45.39732 lng:8.91406
lat:45.403816 lng:8.91715
lat:45.406574 lng:8.913542
lat:45.404583 lng:8.91271
lat:45.39677 lng:8.903174
lat:37.603062 lng:15.14148
lat:37.606647 lng:15.138123
lat:37.622536 lng:15.162026
lat:37.625347 lng:15.162939
lat:37.62278 lng:15.167945
lat:37.628231 lng:15.1618
lat:37.63007 lng:15.160232
lat:37.576199 lng:15.154039
lat:37.618881 lng:15.16664
lat:37.648479 lng:15.191734
lat:37.652039 lng:15.192484
lat:37.628281 lng:15.14364
lat:37.593006 lng:15.138575
lat:37.64455 lng:15.12767
lat:37.569481 lng:15.156988
lat:37.57354 lng:15.15917
lat:37.595711 lng:15.142853
lat:37.601643 lng:15.136614
lat:37.566422 lng:15.149074
lat:37.599396 lng:15.137316
lat:44.671669 lng:8.4729
lat:44.676418 lng:8.4644
lat:44.672775 lng:8.469503
lat:44.675171 lng:8.469773
lat:44.674068 lng:8.469189
lat:37.311779 lng:13.654364
lat:37.311562 lng:13.65317
lat:37.312073 lng:13.655981
lat:37.312038 lng:13.572771
lat:37.311642 lng:13.574321
lat:37.272591 lng:13.603974
lat:44.71368 lng:8.015659
lat:44.695553 lng:8.026341
lat:44.697319 lng:8.034476
lat:44.701096 lng:8.035279
lat:44.697598 lng:8.032245
lat:44.698338 lng:8.033349
lat:44.699642 lng:8.035776
lat:44.700455 lng:8.03438
lat:44.698181 lng:8.035577
lat:44.690563 lng:8.034161
lat:44.699211 lng:8.032171
lat:37.977047 lng:12.963731
lat:37.972321 lng:12.95096
lat:37.97636 lng:12.96169
lat:37.976601 lng:12.96522
lat:37.976158 lng:12.96794
lat:37.974522 lng:12.96651
lat:37.97374 lng:12.97073
lat:37.978611 lng:12.970461
lat:44.914612 lng:8.61572
lat:44.910442 lng:8.619094
lat:44.914482 lng:8.619578
lat:44.912243 lng:8.620134
lat:44.913155 lng:8.614902
lat:44.916687 lng:8.616774
lat:44.915028 lng:8.615978
lat:40.579891 lng:8.312586
lat:40.560684 lng:8.324606
lat:40.563522 lng:8.317608
lat:40.561523 lng:8.326421
lat:40.582771 lng:8.317846
lat:40.567142 lng:8.32054
lat:41.585415 lng:12.567906
lat:41.597813 lng:12.673461
lat:41.765923 lng:12.667846
lat:41.542225 lng:12.643579
lat:41.598202 lng:12.677843
lat:41.594978 lng:12.64928
lat:41.59779 lng:12.671615
lat:41.54612 lng:12.635056
lat:41.539425 lng:12.634133
lat:40.830379 lng:16.559341
lat:40.823582 lng:16.5497
lat:40.826077 lng:16.558844
lat:40.819256 lng:16.424414
lat:43.604176 lng:13.362798
lat:43.620846 lng:13.412097
lat:43.63187 lng:13.39234
lat:41.314327 lng:16.275719
lat:41.227798 lng:16.297211
lat:41.266621 lng:16.41678
lat:41.265938 lng:16.434681
lat:41.307552 lng:16.287395
lat:41.313648 lng:16.272491
lat:41.32077 lng:16.273666
lat:41.223984 lng:16.286627
lat:41.231182 lng:16.295099
lat:41.229622 lng:16.29484
lat:41.307636 lng:16.264463
lat:41.275436 lng:16.423149
lat:41.276352 lng:16.423313
lat:41.313335 lng:16.274487
lat:41.316158 lng:16.277325
lat:41.237301 lng:16.299671
lat:41.225056 lng:16.30533
lat:41.320332 lng:16.276466
lat:41.219543 lng:16.302446
lat:41.265339 lng:16.43306
lat:41.314243 lng:16.271152
lat:41.225838 lng:16.29117
lat:41.307919 lng:16.27112
lat:41.220879 lng:16.291868
lat:41.307373 lng:16.270473
lat:41.226841 lng:16.297928
lat:41.266617 lng:16.431185
lat:41.276966 lng:16.424311
lat:41.482998 lng:12.605749
lat:41.473911 lng:12.60511
lat:41.480145 lng:12.60473
lat:43.472439 lng:11.87865
lat:43.462566 lng:11.843059
lat:43.462265 lng:11.897101
lat:43.473621 lng:11.852978
lat:43.466972 lng:11.871384
lat:43.462029 lng:11.839355
lat:44.700314 lng:11.808538
lat:45.521992 lng:11.318919
lat:45.553314 lng:11.322601
lat:42.855621 lng:13.59242
lat:43.057941 lng:12.568104
lat:43.075474 lng:12.618856
lat:44.896885 lng:8.205983
lat:44.900475 lng:8.199094
lat:44.896946 lng:8.20629
lat:40.894627 lng:14.758608
lat:40.910149 lng:14.802663
lat:40.90699 lng:14.827905
lat:40.906895 lng:14.784818
lat:40.91869 lng:14.830087
lat:40.913399 lng:14.826704
lat:40.920246 lng:14.792117
lat:40.914848 lng:14.805953
lat:40.918987 lng:14.788109
lat:40.915722 lng:14.821524
lat:40.920166 lng:14.818727
lat:40.910072 lng:14.82636
lat:42.058914 lng:13.480376
lat:42.030083 lng:13.415535
lat:42.053165 lng:13.484625
lat:42.043987 lng:13.419748
lat:36.908703 lng:15.132125
lat:38.070084 lng:13.509141
lat:45.753208 lng:11.722749
lat:40.616924 lng:14.974042
lat:40.608639 lng:14.989114
lat:40.603062 lng:14.974555
lat:40.615978 lng:14.9639
lat:40.616756 lng:14.961639
lat:40.61488 lng:14.986064
lat:40.609085 lng:14.989865
lat:40.609631 lng:14.987478
lat:46.138393 lng:12.218471
lat:46.143826 lng:12.202118
lat:41.124668 lng:14.790526
lat:41.13517 lng:14.773304
lat:41.129948 lng:14.779056
lat:41.11544 lng:14.77864
lat:41.130806 lng:14.776907
lat:41.126614 lng:14.787642
lat:41.119965 lng:14.800811
lat:41.129501 lng:14.772828
lat:41.141045 lng:14.774604
lat:41.116722 lng:14.797313
lat:41.132969 lng:14.775891
lat:41.124413 lng:14.798441
lat:41.117165 lng:14.773561
lat:41.13752 lng:14.775619
lat:41.057487 lng:16.696905
lat:41.05492 lng:16.703913
lat:41.05592 lng:16.706923
lat:41.057247 lng:16.699024
lat:41.058369 lng:16.706209
lat:41.112267 lng:16.683981
lat:41.110367 lng:16.683487
lat:44.494919 lng:11.426851
lat:44.489964 lng:11.422164
lat:46.483204 lng:11.344579
lat:46.501289 lng:11.361207
lat:46.508415 lng:11.343868
lat:46.500736 lng:11.363023
lat:46.498665 lng:11.357185
lat:46.498943 lng:11.349119
lat:46.505589 lng:11.336826
lat:46.505512 lng:11.344851
lat:46.46875 lng:11.334656
lat:46.493721 lng:11.35316
lat:46.468491 lng:11.332369
lat:46.503483 lng:11.342106
lat:46.506676 lng:11.354142
lat:46.503685 lng:11.356297
lat:46.486858 lng:11.34908
lat:46.483261 lng:11.342378
lat:46.490704 lng:11.326336
lat:46.485012 lng:11.322895
lat:46.489952 lng:11.331713
lat:46.490421 lng:11.33361
lat:46.490623 lng:11.332296
lat:44.697071 lng:7.839189
lat:44.701778 lng:7.847862
lat:44.702137 lng:7.842267
lat:44.696735 lng:7.848566
lat:44.696262 lng:7.851966
lat:44.691357 lng:7.85219
lat:40.632938 lng:17.93446
lat:40.644707 lng:17.939686
lat:40.65472 lng:17.955379
lat:40.629543 lng:17.932053
lat:40.655815 lng:17.956648
lat:40.646931 lng:17.938194
lat:40.635792 lng:17.9471
lat:40.772408 lng:14.799576
lat:40.76062 lng:14.794547
lat:40.77319 lng:14.797457
lat:40.785152 lng:14.786482
lat:40.769489 lng:14.79769
lat:45.477375 lng:10.827362
lat:45.44035 lng:10.86983
lat:45.44817 lng:10.867143
lat:45.456623 lng:10.87513
lat:45.447865 lng:10.877655
lat:45.448105 lng:10.873036
lat:45.615845 lng:8.858036
lat:45.630241 lng:8.82622
lat:44.613815 lng:11.667794
lat:44.608757 lng:11.666529
lat:44.62212 lng:11.671578
lat:44.621838 lng:11.672643
lat:45.674767 lng:9.231898
lat:44.588657 lng:11.047896
lat:44.594231 lng:11.05157
lat:44.587605 lng:11.051618
lat:44.596153 lng:11.04992
lat:44.594597 lng:11.059181
lat:44.594505 lng:11.054675
lat:44.595745 lng:11.04377
lat:44.597424 lng:11.046441
lat:44.597797 lng:11.051111
lat:44.5933 lng:11.058074
lat:44.595421 lng:11.051951
lat:44.593639 lng:11.05567
lat:39.243332 lng:9.179752
lat:39.256409 lng:9.180521
lat:39.245518 lng:9.133419
lat:39.220985 lng:9.130463
lat:39.229721 lng:9.129289
lat:39.238155 lng:9.10203
lat:39.221142 lng:9.12328
lat:39.219387 lng:9.13248
lat:39.220905 lng:9.123211
lat:39.222744 lng:9.12965
lat:39.241035 lng:9.207317
lat:39.220173 lng:9.118776
lat:39.215927 lng:9.113932
lat:39.239742 lng:9.178463
lat:39.2393 lng:9.129341
lat:39.247597 lng:9.130741
lat:39.209259 lng:9.139794
lat:39.214153 lng:9.120764
lat:39.299675 lng:9.092659
lat:39.215008 lng:9.113645
lat:39.216991 lng:9.084231
lat:39.262634 lng:9.174324
lat:39.237217 lng:9.121937
lat:39.15004 lng:8.978578
lat:39.220455 lng:9.127566
lat:39.217491 lng:9.12222
lat:41.566246 lng:14.67556
lat:41.562477 lng:14.672417
lat:41.561756 lng:14.669106
lat:41.569164 lng:14.663429
lat:41.54855 lng:14.649445
lat:41.568199 lng:14.676531
lat:41.586842 lng:14.66588
lat:44.71814 lng:8.280273
lat:44.718128 lng:8.281611
lat:44.718056 lng:8.287527
lat:44.719471 lng:8.28585
lat:44.719528 lng:8.28819
lat:44.721416 lng:8.296328
lat:44.717731 lng:8.283528
lat:44.719608 lng:8.293231
lat:44.715092 lng:8.2905
lat:45.74744 lng:9.12073
lat:45.735939 lng:9.128526
lat:45.734032 lng:9.13046
lat:45.741169 lng:9.128119
lat:45.733856 lng:9.122656
lat:45.73991 lng:9.126097
lat:45.731087 lng:9.153004
lat:45.724148 lng:9.150263
lat:45.741867 lng:9.139458
lat:45.73621 lng:9.127744
lat:40.915844 lng:14.049915
lat:40.910164 lng:14.043697
lat:42.070587 lng:12.377039
lat:42.143822 lng:12.489813
lat:44.785839 lng:10.885165
lat:44.791634 lng:10.87867
lat:44.788376 lng:10.8881
lat:44.801476 lng:10.885122
lat:44.792931 lng:10.875206
lat:44.797215 lng:10.882388
lat:44.797859 lng:10.882712
lat:44.793541 lng:10.879596
lat:44.796108 lng:10.881539
lat:44.794842 lng:10.886299
lat:44.79081 lng:10.880071
lat:41.069012 lng:14.354818
lat:41.075653 lng:14.332705
lat:41.074139 lng:14.353577
lat:41.093105 lng:14.32433
lat:41.072475 lng:14.318046
lat:41.081654 lng:14.325525
lat:41.084354 lng:14.341091
lat:41.080681 lng:14.352514
lat:41.084724 lng:14.361293
lat:41.09 lng:14.33632
lat:41.071003 lng:14.351444
lat:41.089996 lng:14.331355
lat:41.09111 lng:14.335149
lat:41.066772 lng:14.353836
lat:41.085033 lng:14.347788
lat:41.071629 lng:14.33889
lat:41.072613 lng:14.331491
lat:41.083729 lng:14.355476
lat:41.073612 lng:14.352217
lat:41.088493 lng:14.350864
lat:41.094521 lng:14.351972
lat:41.098793 lng:14.340724
lat:41.073624 lng:14.2959
lat:41.078621 lng:14.31284
lat:41.078609 lng:14.31627
lat:41.082012 lng:14.34097
lat:41.074402 lng:14.307664
lat:41.076702 lng:14.317073
lat:41.079288 lng:14.305851
lat:41.081577 lng:14.342892
lat:41.078987 lng:14.347343
lat:40.274391 lng:18.045397
lat:41.490192 lng:13.838508
lat:41.480728 lng:13.876951
lat:41.490086 lng:13.858761
lat:41.466297 lng:13.790378
lat:41.493015 lng:13.860472
lat:37.686775 lng:12.796174
lat:37.68362 lng:12.793717
lat:37.685532 lng:12.788471
lat:37.683849 lng:12.79603
lat:37.677685 lng:12.794871
lat:37.684956 lng:12.797677
lat:37.519775 lng:15.012561
lat:37.517448 lng:15.00447
lat:37.509403 lng:14.968127
lat:37.555958 lng:15.069019
lat:37.513321 lng:14.969872
lat:37.565609 lng:15.11253
lat:37.550877 lng:15.112611
lat:37.521954 lng:15.001323
lat:37.512463 lng:14.967838
lat:37.514862 lng:14.968646
lat:37.567383 lng:15.113739
lat:37.532906 lng:14.982497
lat:37.51091 lng:14.969
lat:37.522888 lng:15.01227
lat:45.180199 lng:7.709203
lat:45.673416 lng:11.927116
lat:41.562744 lng:13.357881
lat:41.593353 lng:13.307343
lat:41.585438 lng:13.332253
lat:43.328445 lng:10.512543
lat:45.633369 lng:9.123184
lat:45.614079 lng:9.138508
lat:45.613632 lng:9.139407
lat:45.528313 lng:9.33443
lat:45.517162 lng:9.321152
lat:45.52969 lng:9.325588
lat:45.523422 lng:9.329293
lat:45.532867 lng:9.33707
lat:45.527695 lng:9.331645
lat:45.525658 lng:9.337936
lat:45.527664 lng:9.330338
lat:45.503979 lng:9.323964
lat:45.506371 lng:9.32372
lat:44.735741 lng:11.281101
lat:44.733955 lng:11.281651
lat:41.259605 lng:15.898346
lat:41.262024 lng:15.902181
lat:41.259781 lng:15.901618
lat:44.221527 lng:12.337953
lat:44.133762 lng:12.224684
lat:44.142582 lng:12.248778
lat:44.147163 lng:12.22281
lat:44.127674 lng:12.214966
lat:44.156296 lng:12.330849
lat:44.314484 lng:9.32787
lat:44.313953 lng:9.329375
lat:42.351971 lng:14.172771
lat:42.341309 lng:14.166132
lat:42.351669 lng:14.174243
lat:42.339344 lng:14.168644
lat:42.341805 lng:14.16252
lat:42.340141 lng:14.16745
lat:42.339012 lng:14.159591
lat:45.222298 lng:12.279607
lat:45.222919 lng:12.280031
lat:45.199272 lng:12.297844
lat:45.197922 lng:12.298651
lat:45.20573 lng:12.295506
lat:45.197781 lng:7.929553
lat:45.192265 lng:7.900344
lat:45.195377 lng:7.909774
lat:45.188591 lng:7.89251
lat:45.212727 lng:7.889455
lat:43.456554 lng:12.240407
lat:43.455151 lng:12.241753
lat:43.461414 lng:12.237866
lat:43.457443 lng:12.238214
lat:43.456364 lng:12.238536
lat:43.294243 lng:13.702781
lat:43.316578 lng:13.718394
lat:43.30909 lng:13.7227
lat:43.300789 lng:13.735304
lat:43.318169 lng:13.718941
lat:42.096432 lng:11.798583
lat:42.088722 lng:11.802694
lat:42.03904 lng:11.833575
lat:42.093071 lng:11.79501
lat:42.09885 lng:11.794306
lat:42.070805 lng:11.817517
lat:37.490711 lng:14.061336
lat:37.484619 lng:14.059055
lat:37.478638 lng:14.058397
lat:37.493748 lng:14.056617
lat:37.484303 lng:14.053194
lat:37.499828 lng:14.063659
